codigo_produto,descricaoproduto,codigo_familia,preco_venda_unitario,custo_produto_unitario
745300,Practical Pet Food Brown #105,67  ,2.05,0.78
745500,Innovative Pet Food Blue #54,67  ,1.35,0.51
745501,Sustainable Pet Food Silver #348,67  ,22.9,8.89
748100,Sustainable Pet Food Pink #13,67  ,1.01,0.4
748800,Stylish Pet Food Brown #790,67  ,1.25,0.48
755100,Comfortable Earrings Maroon #667,60  ,28.1,11.22
780100,Stylish Earrings Teal #856,60  ,34,14.81
782400,Durable Bracelets Purple #503,27  ,328,147.13
782500,Stylish Bracelets Blue #216,27  ,328,141.25
782600,Long-Lasting Bracelets Green #853,27  ,315,141.25
782601,Long-Lasting Bracelets Pink #299,27  ,364,162.91
782800,Luxurious Bracelets Olive #510,27  ,315,147.13
783700,Practical Bracelets Silver #592,27  ,319,143
783900,Long-Lasting Bracelets Cyan #125,27  ,319,143
784000,Sophisticated Bracelets Maroon #478,27  ,319,137.28
784200,Comfortable Bracelets Olive #830,27  ,319,143
784500,Modern Plants and Flowers Olive #339,DSF ,47.35,20.67
784600,Useful Plants and Flowers Blue #166,DSF ,54.75,23.9
792300,Fun Audiobooks Gray #312,52  ,69.9,34.14
794100,Stylish Earrings Red #741,60  ,20.1,7.27
799200,Long-Lasting Creativity Navy #912,75  ,858,474.24
799201,Modern Creativity Yellow #876,75  ,858,474.24
799300,Fun Bracelets White #974,27  ,351,157.16
802500,Innovative Mens Watches Gold #688,74  ,42.75,17.74
807600,Innovative Plants and Flowers Brown #376,DSF ,47.35,20.67
824500,Practical Home Appliances Olive #736,26  ,672,309.52
828502,Elegant Earrings Cyan #449,60  ,72.75,30.19
832800,Stylish Beverages Maroon #36,ELE ,405,212.91
838200,Luxurious Earrings Purple #82,60  ,56,19.02
888900,Eco-Friendly Home Appliances Magenta #629,26  ,108,49.61
889900,Practical Furniture Navy #430,63  ,1114.7,560.69
891400,Stylish Bracelets White #290,27  ,304,127.28
903600,Durable Home Appliances Teal #891,26  ,275,126.77
920100,Delicious Furniture Purple #989,63  ,1046.2,510.84
944400,Eco-Friendly Jewelry Maroon #222,AL  ,173.5,67.49
946000,Powerful Bracelets Yellow #119,27  ,351,157.16
955200,Elegant Bracelets Lime #673,27  ,442.2,198.38
956700,Durable Arts and Crafts Yellow #474,DET ,19.9,6.63
957900,Delicious Bracelets Navy #380,27  ,319,137.28
985500,Eco-Friendly Bracelets Teal #328,27  ,396.3,177.78
985600,Sophisticated Bracelets Magenta #885,27  ,442.2,190.44
986801,Long-Lasting Pet Supplies Silver #389,MCAT,138.1,55.73
991900,Luxurious Audiobooks White #323,52  ,89.6,43.99
992000,Eco-Friendly Audiobooks Brown #931,52  ,44.9,23.94
995200,Delicious Streaming Services Brown #675,MCT ,179,79.99
995400,Fun Streaming Services Cyan #885,MCT ,179,79.99
995600,Delicious Streaming Services White #827,MCT ,179,80
995900,Fun Streaming Services Olive #774,MCT ,179,79.99
996200,Practical Streaming Services Teal #593,MCT ,79.9,80
997101,Long-Lasting Streaming Services Purple #709,MCT ,110,49.22
997200,Delicious Streaming Services Yellow #814,MCT ,110,49.23
997600,Sophisticated Streaming Services Yellow #285,MCT ,110,49.23
1003800,Comfortable Hand Tools Cyan #711,FXA ,241,126.42
1004100,Comfortable Hand Tools Cyan #112,FXA ,346,181.94
1013700,Innovative Bathroom Fixtures Brown #496,0   ,497,268.63
1018500,Sophisticated Home Appliances Purple #75,26  ,293,134.96
1031400,Innovative Bracelets Silver #255,27  ,448,200.95
1036200,Versatile Hand Tools Brown #435,FXA ,97,50.91
1054200,Versatile Mens Watches Green #441,74  ,75.7,31.42
1067000,Versatile Necklaces Gold #293,190 ,83,47.47
1067400,Stylish Necklaces Gold #441,190 ,24.8,13.67
1067500,Elegant Necklaces Cyan #725,190 ,24.8,14.19
1069000,Durable Necklaces Green #386,190 ,18.2,10.42
1070600,Sustainable Bracelets Teal #94,27  ,396.3,177.79
1071000,Fun Bracelets Blue #38,27  ,448,200.95
1084400,Luxurious Security Magenta #4,CSA ,266,151.75
1085500,Fun Bracelets Pink #852,27  ,383,171.77
1085501,Long-Lasting Bracelets Lime #305,27  ,359,160.82
1085502,Modern Bracelets Pink #317,27  ,359,160.82
1085503,Modern Bracelets Black #742,27  ,359,160.82
1085504,Sophisticated Bracelets Navy #417,27  ,249.9,148.75
1085505,Delicious Bracelets Orange #628,27  ,249.9,134.62
1085801,Modern Bracelets Olive #568,27  ,456,189.02
1085802,Innovative Bracelets Orange #455,27  ,456,204.36
1086300,Practical Bracelets Pink #731,27  ,319,143
1086301,Sophisticated Bracelets Lime #881,27  ,319,143
1097100,Long-Lasting Home Appliances Maroon #145,26  ,291.5,134.3
1098700,Comfortable Bracelets Green #661,27  ,329.9,185.07
1104200,Stylish Bracelets Green #761,27  ,456,204.35
1105100,Beautiful Household Goods Brown #392,DLR ,26,11.64
1127900,Innovative Mens Watches Olive #726,74  ,2.6,1.07
1136700,Sophisticated Audiobooks Maroon #448,52  ,189.9,102.43
1137900,Stylish Software Cyan #593,CL  ,129.9,81.06
1144700,Beautiful Necklaces Gold #113,190 ,13.5,7.7
1144701,Delicious Necklaces Magenta #853,190 ,13.5,6.79
1148900,Useful Marine Supplies Pink #911,35  ,49.5,25.9
1151800,Practical Bracelets Green #691,27  ,396.3,177.78
1161300,Sustainable Lawn and Garden Supplies White #302,CR  ,3707,2424.82
1166700,Delicious Bracelets Yellow #925,27  ,396.3,177.78
1176400,Delicious Necklaces Blue #196,190 ,175.2,100.24
1183001,Comfortable Gaming Accessories Green #359,333 ,2441,1479
1183301,Delicious Watches Magenta #484,18  ,142.9,65.89
1201400,Versatile Home Appliances Navy #299,CC  ,77.8,33.98
1219100,Fun Hand Tools Lime #868,FXA ,39.9,46.93
1223300,High-Quality Jewelry Navy #315,69  ,20.7,8.58
1225300,High-Quality Food Maroon #648,ROHO,735,432.17
1228000,Versatile Grocery Items Silver #48,CBP ,75.7,35.86
1257000,High-Quality Bracelets Black #427,27  ,456,204.36
1266200,Useful Home Appliances Gray #276,26  ,68,31.32
1287100,High-Quality Gaming Accessories Brown #190,333 ,2441,1479
1296204,Delicious Streaming Services Green #900,MCT ,279.9,99.1
1296400,Luxurious Streaming Services Black #799,MCT ,279.9,79.16
1296600,Sustainable Streaming Services Silver #726,MCT ,279.9,113.95
1296800,Powerful Bracelets Gray #402,27  ,443,198.72
1297000,Useful Bracelets White #173,27  ,443,198.72
1297300,Innovative Bracelets Gold #501,27  ,280,125.57
1297400,Beautiful Bracelets Black #683,27  ,280,125.57
1297500,Comfortable Bracelets Orange #181,27  ,280,125.57
1297900,Stylish Bracelets Red #649,27  ,339.9,192.86
1298000,Long-Lasting Bracelets Cyan #854,27  ,339.9,206.64
1298100,Powerful Bracelets Teal #178,27  ,339.9,202.27
1298600,Durable Streaming Services Gold #536,MCT ,209.9,126.67
1298800,Long-Lasting Streaming Services Gray #969,MCT ,209.9,120.96
1299000,Luxurious Streaming Services Gray #140,MCT ,299.9,121.51
1299100,Innovative Streaming Services Yellow #394,MCT ,299.9,184.32
1319700,Elegant Automotive Repair Cyan #638,BB  ,47,21.66
1325003,Delicious Bracelets Brown #608,27  ,443,109.41
1325200,Delicious Bracelets Gray #666,27  ,647,290.16
1333700,Sophisticated Earrings Lime #502,60  ,72.35,40.15
1339600,Useful Movies Gold #356,HBE ,10.1,4.29
1344800,Useful Books Silver #652,DESA,20.3,11.21
1348500,Luxurious Streaming Services Orange #952,MCT ,124,55.38
1352300,Sophisticated Entertainment Purple #515,33  ,479.9,373.24
1357500,Beautiful Necklaces Olive #501,190 ,39.9,23.09
1377703,Sustainable Hobbies Purple #441,1   ,39.5,17.99
1377706,Long-Lasting Hobbies Maroon #489,1   ,59.9,32.4
1378900,Powerful Necklaces Blue #781,190 ,50.8,35
1380000,Modern Marine Supplies Orange #361,35  ,56.5,29.5
1399500,Long-Lasting Tires and Wheels Magenta #879,DAL ,35.25,15.39
1415900,Innovative Movies Pink #590,HBE ,35.9,20.55
1416100,Practical Movies Gray #75,HBE ,79.6,47.16
1417900,Useful Bracelets Purple #246,27  ,181,78.01
1418000,Sophisticated Bracelets Green #697,27  ,181,78.01
1418100,Long-Lasting Bracelets White #908,27  ,181,78.01
1418500,Versatile Bracelets Gold #272,27  ,181,76.95
1418700,Powerful Bracelets Brown #112,27  ,288.35,120.31
1419000,Elegant Bracelets Green #640,27  ,268.2,115.12
1419100,Luxurious Bracelets Navy #935,27  ,268.2,115.37
1419800,Long-Lasting Bracelets Gold #553,27  ,253.4,108.03
1419801,Stylish Bracelets Maroon #385,27  ,253.4,109.54
1419802,Delicious Bracelets Brown #864,27  ,253.4,109.6
1420200,Beautiful Bracelets Olive #129,27  ,333.1,148.93
1426200,Luxurious Bracelets Teal #307,27  ,383,171.76
1427100,Sustainable Bracelets Silver #812,27  ,333.1,146.89
1427600,Fun Bracelets Magenta #434,27  ,258.5,115.05
1427700,Innovative Bracelets Silver #511,27  ,258.5,115.05
1428300,Modern Hobbies Orange #508,1   ,899.9,514.57
1435102,Modern Movies Navy #16,HBE ,46.2,23.94
1456700,Sophisticated Bracelets Black #618,27  ,298,115.63
1456701,Modern Bracelets Magenta #858,27  ,319,143
1456800,Durable Bracelets Black #479,27  ,319,143
1459900,Long-Lasting Hand Tools Lime #564,FXA ,129.9,109.36
1469900,Versatile Bracelets Navy #567,27  ,456,197.14
1471800,Versatile Bracelets Teal #820,27  ,508.3,228.03
1472000,Practical Bracelets Purple #815,27  ,508.3,228.03
1472400,High-Quality Home Appliances Navy #615,26  ,150,68.79
1475500,Long-Lasting Musical Instruments Yellow #408,OTMO,375,160.43
1475802,Long-Lasting Musical Instruments Pink #371,OTMO,405,224.96
1475803,Practical Musical Instruments Purple #192,OTMO,405,224.96
1476000,Delicious Musical Instruments Yellow #348,OTMO,375,181.67
1484300,Comfortable Bracelets Brown #670,27  ,360,224.25
1489100,Eco-Friendly Womens Watches Brown #308,CBE ,2268,1259.45
1502400,Useful Tires and Wheels Navy #918,DAL ,20.55,8.98
1517200,Sophisticated Earrings Maroon #282,60  ,3.45,0.93
1519300,Delicious Rings Silver #945,OJP ,285,112.94
1530100,Durable Home Appliances Magenta #753,CC  ,46.2,20.15
1545504,Delicious Bracelets Maroon #624,27  ,412.6,185.08
1545505,Eco-Friendly Bracelets Gold #162,27  ,412.6,168.42
1545900,Modern Home Appliances Magenta #635,26  ,74,33.81
1547900,Versatile Movies Cyan #770,HBE ,3.55,1.5
1562600,High-Quality Watches Orange #844,18  ,142.9,65.89
1563500,Useful Jewelry Gray #456,AL  ,133,78.03
1566800,Durable Automotive Parts and Accessories Cyan #334,CPOC,66.2,30.52
1566900,Practical Automotive Parts and Accessories Navy #445,CPOC,66,30.42
1572800,Innovative Plants and Flowers Purple #81,DSF ,21.3,9.31
1573400,Delicious Streaming Services Purple #403,MCT ,248,110.88
1573700,Fun Streaming Services Olive #529,MCT ,169.9,126.67
1573800,Delicious Streaming Services Pink #839,MCT ,169.9,120.96
1578100,Delicious Bracelets Brown #219,27  ,360,223.2
1581500,Delicious Bracelets Teal #660,27  ,618,277.2
1582301,Fun Sound Equipment Yellow #596,DFM ,170.3,88.3
1582400,Powerful Audiobooks Red #763,52  ,83,40.74
1607800,Stylish Bracelets Pink #840,27  ,448,200.95
1616900,Powerful Earrings White #981,60  ,2.35,0.91
1622300,Durable Consoles White #563,CTR ,204.1,96.8
1657600,Long-Lasting Hardware Black #686,36  ,36.9,17.56
1660001,Useful Marine Supplies Black #483,35  ,92,49.41
1664700,Versatile Kitchenware Black #552,ALE ,883,329.91
1711400,High-Quality Jewelry Magenta #867,69  ,13.95,5.78
1751700,Durable Books Magenta #147,DESA,9.9,7.47
1793200,Modern Bracelets Black #335,27  ,209.9,136.46
1807300,High-Quality Bracelets Silver #1,27  ,360,141.04
1832200,Modern Automotive Parts and Accessories Cyan #232,CPOC,85,39.17
1832300,Powerful Automotive Parts and Accessories Gray #745,CPOC,57,25.97
1839500,Eco-Friendly Lawn and Garden Supplies White #201,CR  ,3707,2316.33
1870900,Sophisticated Musical Instruments Red #443,OTMO,232.4,149.9
1881400,Eco-Friendly Pet Supplies Green #872,MCAT,153,68.64
1881600,Long-Lasting Pet Supplies Red #531,MCAT,153,68.64
1881700,Versatile Pet Supplies Orange #593,MCAT,153,65.28
1881701,Elegant Pet Supplies Red #672,MCAT,99.9,62.4
1881703,Comfortable Pet Supplies Yellow #287,MCAT,99.9,62.41
1884700,Elegant Earrings Red #551,60  ,37.55,12.82
1888700,High-Quality Audiobooks Maroon #936,52  ,38.8,17.86
1897200,Elegant Automotive Parts and Accessories Blue #12,CPOC,75.9,34.96
1897500,Innovative Automotive Parts and Accessories Gold #23,CPOC,71.8,33.08
1899600,Sophisticated Bracelets Brown #537,27  ,318.7,165.31
1899800,Sophisticated Bracelets Gold #309,27  ,318.7,165.31
1901100,Versatile Bracelets Silver #211,27  ,228.6,118.56
1901300,Delicious Bracelets Green #468,27  ,228.6,118.56
1916900,Eco-Friendly Rings Lime #187,OJP ,299.9,153
1917000,Sustainable Rings Brown #177,OJP ,299.9,168.37
1917100,Comfortable Rings Navy #399,OJP ,299.9,223.64
1917300,Practical Rings Green #245,OJP ,299.9,158.14
1927600,Elegant Hobbies Gold #380,1   ,899.9,514.57
1930000,Useful Sound Equipment Silver #537,DFM ,8.5,4.55
1930100,Beautiful Sound Equipment Black #494,DFM ,3.6,1.93
1930200,Long-Lasting Sound Equipment Yellow #318,DFM ,3.9,2.09
1930202,Comfortable Sound Equipment Olive #108,DFM ,3.55,1.89
1930400,Useful Sound Equipment Navy #404,DFM ,9.6,5.15
1930500,Long-Lasting Sound Equipment Maroon #343,DFM ,6.2,3.33
1932400,Versatile Watches Black #811,18  ,53.5,24.91
1932500,Sophisticated Watches Teal #703,18  ,53.5,24.91
1932600,Durable Watches Silver #845,18  ,53.5,24.91
1944600,Stylish Earrings Orange #442,60  ,82.1,29.67
1959300,Sophisticated Earrings White #289,60  ,3.7,1.26
1968700,Versatile Hobbies Teal #489,1   ,499.9,289.79
1968900,Practical Hobbies Red #288,1   ,999.9,567.64
1977300,Delicious Watches Yellow #947,18  ,53.5,24.91
1977500,High-Quality Plants and Flowers Teal #612,DSF ,24.5,10.7
1977600,Elegant Plants and Flowers Olive #718,DSF ,19.95,8.7
1981600,High-Quality Plants and Flowers Red #104,DSF ,21.3,9.31
1981900,Durable Bracelets Cyan #882,27  ,299.9,189.36
1981901,Fun Bracelets Olive #408,27  ,299.9,162.64
2026101,Comfortable Kitchen Appliances Silver #834,DLN ,35.9,18.86
2026102,Modern Kitchen Appliances Teal #111,DLN ,35.9,15.05
2026106,Stylish Kitchen Appliances Cyan #831,DLN ,33.9,17.19
2026200,Useful Kitchen Appliances Maroon #412,DLN ,33.9,16.5
2026300,Sophisticated Kitchen Appliances Purple #364,DLN ,33.9,16.5
2026500,Comfortable Gaming Accessories Pink #476,333 ,2784,1686.97
2027000,Comfortable Lawn and Garden Supplies Yellow #441,CR  ,3490,2256.53
2031200,Delicious Bathroom Fixtures Gray #175,0   ,497,268.63
2033800,Elegant Bathroom Fixtures Black #787,0   ,498,268.68
2069600,Versatile Ebooks White #447,CRS ,599.9,414.54
2070000,Eco-Friendly Entertainment Yellow #697,33  ,249,160.43
2070100,Sophisticated Entertainment Silver #68,33  ,517,287.14
2093100,High-Quality Necklaces Red #879,190 ,9.25,5.72
2105502,Eco-Friendly Watches Lime #236,18  ,53.5,24.91
2106200,Long-Lasting Arts and Crafts Green #517,DET ,12.5,5.72
2112200,Modern Gaming Accessories Teal #831,333 ,2784,1686.97
2112201,Beautiful Gaming Accessories Maroon #215,333 ,2784,1606.63
2112300,Delicious Gaming Accessories Pink #72,333 ,2784,1686.97
2121500,Innovative Toys White #757,APDP,366.1,189.9
2122000,Durable Health and Wellness Gold #951,22  ,268.8,167.08
2138806,Eco-Friendly Lighting Olive #122,SCM ,258.7,113.01
2139700,Practical Lighting Purple #572,SCM ,276.7,127.59
2139800,Delicious Lighting Cyan #921,SCM ,276.7,127.59
2139900,Modern Lighting White #466,SCM ,276.7,139.19
2140700,Durable Lighting Lime #922,SCM ,276.7,127.59
2140900,Practical Lighting Maroon #214,SCM ,276.7,127.59
2141000,Useful Lighting Gray #344,SCM ,276.7,127.59
2141100,Modern Lighting Red #843,SCM ,276.7,127.59
2143000,Practical Collectibles Cyan #59,SCF ,188.3,86.83
2143100,Sophisticated Collectibles Navy #76,SCF ,188.3,86.83
2143200,Elegant Collectibles Gray #249,SCF ,188.3,86.83
2143600,High-Quality Lighting Black #325,SCM ,188.4,86.83
2143700,Delicious Lighting Black #169,SCM ,188.4,86.83
2171601,Eco-Friendly Lawn and Garden Supplies Navy #625,CR  ,3490,2187.46
2171700,Sustainable Lawn and Garden Supplies Green #265,CR  ,3490,2022.61
2174500,Eco-Friendly Automotive Parts and Accessories Cyan #533,CPOC,59.8,27.56
2174700,Useful Automotive Parts and Accessories Gray #986,CPOC,37.5,17.26
2186300,Sustainable Rings Pink #6,OJP ,329.9,284.8
2190200,Fun Movies Pink #295,COLH,452,227.2
2190900,Long-Lasting Toys Green #945,APDP,460,238.38
2196600,Elegant Rings Blue #600,OJP ,295,155.25
2196602,Sustainable Rings Brown #849,OJP ,379,199.12
2205000,Fun Rings Orange #442,OJP ,239.9,190.07
2205100,Fun Rings Gold #709,OJP ,239.9,165.29
2237300,Fun Marine Supplies Green #731,35  ,155,81.45
2237500,Delicious Marine Supplies Gray #512,35  ,155,74.05
2243800,Practical Rings Blue #853,OJP ,329.9,155.27
2255700,Fun Hobbies Pink #689,1   ,294,149.37
2272118,Long-Lasting Flooring Yellow #275,CSF ,209.9,117.34
2272120,Innovative Flooring White #825,CSF ,209.9,117.34
2272121,Powerful Flooring Brown #200,CSF ,209.9,117.34
2272134,Elegant Flooring Gold #580,CSF ,279.9,117.34
2272135,Innovative Flooring Teal #445,CSF ,279.9,117.34
2272137,Modern Flooring Navy #162,CSF ,279.9,117.34
2272138,Comfortable Flooring Orange #530,CSF ,279.9,117.34
2272139,Sustainable Flooring Blue #112,CSF ,279.9,117.34
2272500,Comfortable Flooring Brown #463,CSF ,250,130.91
2277500,Versatile Pet Food White #526,67  ,0.49,0.2
2280400,Fun Pet Food Lime #534,67  ,0.57,0.22
2282800,Eco-Friendly Gaming Accessories Olive #390,333 ,2784,1686.84
2283700,Elegant Pet Food Silver #126,67  ,0.65,0.25
2288300,Sustainable Streaming Services Olive #90,MCT ,179,79.99
2298300,Stylish Creativity Green #14,75  ,508,263.14
2303000,Delicious Pet Food Cyan #605,67  ,2.66,1.04
2304000,Fun Pet Food Silver #281,67  ,0.47,0.18
2304100,Powerful Pet Food Navy #768,67  ,0.47,0.18
2305000,Sustainable Pet Food Silver #595,67  ,0.37,0.14
2305900,Delicious Pet Food Yellow #828,67  ,0.8,0.31
2306100,Useful Pet Food Gray #180,67  ,0.7,0.28
2306600,Useful Pet Food Magenta #771,67  ,1.27,0.48
2306700,Elegant Pet Food Silver #756,67  ,0.55,0.22
2306900,High-Quality Pet Food Green #62,67  ,0.49,0.19
2307200,Elegant Pet Food Gray #97,67  ,0.35,0.12
2309000,Stylish Pet Food Olive #635,67  ,0.34,0.13
2309100,Sustainable Pet Food Silver #466,67  ,0.39,0.15
2309400,Durable Pet Food Maroon #141,67  ,2.48,0.96
2309800,Beautiful Pet Food Black #17,67  ,2.48,0.96
2310000,Useful Pet Food Magenta #966,67  ,2.87,1.12
2310500,Innovative Pet Food Maroon #836,67  ,0.26,0.11
2314800,Elegant Hand Tools Magenta #636,FXA ,228,119.71
2315300,Delicious Movies Brown #896,HBE ,79.6,47.16
2315501,Comfortable Movies Navy #308,HBE ,70.8,41.96
2317800,Luxurious Kitchen Appliances Pink #710,DLN ,38.7,16.05
2317900,Durable Kitchen Appliances Brown #393,DLN ,38.7,8.25
2317902,Fun Kitchen Appliances Brown #501,DLN ,38.7,17.51
2318600,Comfortable Automotive Parts and Accessories Magenta #877,CPOC,51,23.29
2320704,Practical Musical Instruments Gray #400,CS  ,192.9,117.34
2320713,Fun Musical Instruments Red #740,CS  ,250,104.76
2331100,Versatile Creativity Maroon #291,75  ,336.9,202.35
2343900,Durable Hobbies Silver #117,1   ,454.85,283.85
2344100,Versatile Hobbies Orange #329,1   ,349,180.74
2344700,Practical Hobbies Silver #949,1   ,424.9,261.5
2348700,Practical Creativity Black #698,75  ,349.9,175.42
2358500,Delicious Kitchen Appliances Lime #248,DLN ,29.9,12.58
2359400,Innovative Collectibles Pink #512,SCF ,188.3,86.83
2359403,High-Quality Collectibles Red #264,SCF ,188.3,86.83
2359413,Practical Collectibles Olive #188,SCF ,188.3,86.83
2359415,Modern Collectibles Red #466,SCF ,188.3,86.83
2359416,Sophisticated Lighting Teal #1000,SCM ,188.4,86.83
2359417,Luxurious Collectibles Brown #200,SCF ,188.3,86.83
2359420,Comfortable Lighting Yellow #997,SCM ,160,73.74
2359439,Sophisticated Collectibles Magenta #650,SCF ,188.3,86.83
2359440,Beautiful Collectibles Gray #765,SCF ,188.3,86.83
2359441,Fun Collectibles Gold #359,SCF ,188.3,86.83
2359442,Comfortable Collectibles Orange #997,SCF ,188.3,86.83
2359443,Elegant Collectibles Cyan #51,SCF ,188.3,86.83
2359447,Powerful Collectibles Gold #414,SCF ,188.3,86.83
2359449,Durable Collectibles Cyan #685,SCF ,188.3,86.83
2359452,Long-Lasting Collectibles Red #595,SCF ,188.3,86.83
2359453,Practical Collectibles Lime #503,SCF ,188.3,86.83
2359747,Innovative Collectibles Teal #180,SCF ,358.6,156.64
2364800,Eco-Friendly Entertainment Orange #485,33  ,421,223.2
2366408,Durable Rings Blue #337,OJP ,329.9,284.8
2377600,Practical Streaming Services Green #323,MCT ,179,80
2377800,Sustainable Streaming Services Cyan #518,MCT ,179,79.99
2378000,Stylish Streaming Services Pink #224,MCT ,124,55.38
2379500,Eco-Friendly Bracelets Teal #418,27  ,485,217.59
2379700,Delicious Bracelets Gold #395,27  ,329.9,198.38
2379900,Comfortable Bracelets Magenta #911,27  ,485,217.59
2380200,Practical Bracelets Navy #439,27  ,379.9,170.61
2380600,Powerful Bracelets White #481,27  ,413.8,185.61
2380700,Stylish Bracelets Maroon #513,27  ,396.3,177.79
2385500,Eco-Friendly Kitchen Appliances Orange #550,DLN ,39.9,11.73
2388200,Modern Laundry Appliances Blue #20,31  ,189,99
2388400,Sustainable Food Brown #367,ROHO,543,319.05
2389700,High-Quality Electronics White #152,0333,7290,5401.42
2389701,Powerful Electronics Orange #229,0333,13890,7921.77
2389703,Comfortable Electronics Navy #981,0333,13890,7921.77
2390100,Eco-Friendly Streaming Services Red #67,MCT ,138,61.54
2390200,Beautiful Streaming Services Green #563,MCT ,138,61.54
2395300,Powerful Movies Lime #988,HBE ,15.9,6.74
2398701,Sustainable Kitchen Appliances Gold #932,DLN ,29.9,12.56
2402604,Eco-Friendly Flooring Gold #155,CSF ,318.1,105.6
2432909,Luxurious Clothing Yellow #768,CSMC,299.9,146.67
2432918,Elegant Clothing Silver #800,CSMC,349.9,146.67
2432919,High-Quality Clothing Lime #599,CSMC,349.9,146.67
2433906,Sophisticated Lighting Black #815,SCM ,188.4,86.83
2433909,Practical Lighting Gray #476,SCM ,188.4,86.83
2434128,Powerful Lighting Gray #851,SCM ,283,130.46
2434129,Practical Lighting White #426,SCM ,283,130.46
2441500,Beautiful Audiobooks Teal #225,52  ,91.3,44.83
2442000,Eco-Friendly Cleaning Supplies Pink #886,MSH ,899.9,546.38
2443901,Versatile Lighting Olive #607,SCM ,188.4,86.83
2445100,Useful Productivity Black #865,ALD ,2963,1617.59
2447500,Comfortable Automotive Repair Pink #520,BB  ,360,165.55
2457700,Long-Lasting Bracelets White #829,27  ,439.5,197.14
2458200,Useful Bracelets Green #45,27  ,383,171.77
2458300,Useful Bracelets Maroon #823,27  ,383,153.31
2459200,Useful Bracelets Purple #469,27  ,383,140.19
2460100,Beautiful Bracelets White #610,27  ,248.9,153.31
2460200,Beautiful Bracelets Silver #102,27  ,248.9,143.79
2470400,Long-Lasting Bracelets Green #572,27  ,456,171.07
2474000,Delicious Jewelry Lime #542,69  ,15.85,6.57
2479400,High-Quality Beverages Blue #692,ELE ,254,110.55
2486800,Durable Consoles Magenta #266,CTR ,3,1.42
2487900,Versatile Movies Olive #572,HBE ,64.6,36.95
2488000,Sophisticated Movies Magenta #917,HBE ,41.4,23.66
2488200,Delicious Movies Orange #578,HBE ,41.4,23.66
2488600,Useful Hobbies Magenta #539,1   ,1099,620.66
2488601,Stylish Hobbies White #218,1   ,999.9,567.64
2490301,Useful Food White #241,ROHO,1081.1,643.51
